Model,CV Accuracy,CV Std,Test Accuracy,Weighted Precision,Weighted Recall,Weighted F1
Decision Tree,0.8736453201970443,0.04619523627389233,1.0,1.0,1.0,1.0
KNN,0.9650246305418719,0.021817155061850793,0.9444444444444444,0.9465811965811967,0.9444444444444444,0.944269005847953
Random Forest,0.972167487684729,0.02587496746141655,1.0,1.0,1.0,1.0
