,mutual_information
flavanoids,0.6676024156543787
proline,0.5773907005314594
color_intensity,0.5482736434153348
od280/od315_of_diluted_wines,0.5161578354876792
alcohol,0.4743119876938653
hue,0.46641155512136656
total_phenols,0.40159874828530584
proanthocyanins,0.3054059377791585
malic_acid,0.28238354289680934
alcalinity_of_ash,0.2378060240455011
magnesium,0.21335210250910563
nonflavanoid_phenols,0.12097137683038173
ash,0.07920099228851729
